Model,Accuracy,F1 Score,Precision,Recall
RoBERTa-base,0.93,0.9298856739590685,0.9303802755338265,0.93
BERT-base,0.89,0.8896598611958819,0.890945270391298,0.89
DistilBERT,0.878,0.877745454838957,0.8783500218946139,0.878
